Index,Name,Address,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,FacilitiesAndServices,MinPriceUSD,MaxPriceUSD,Country,AveragePrice
2040,Cannavacciuolo Countryside,"via Ticciano 137, Ticciano, 80069, Italy",Ticciano,90,130,EUR,"Mediterranean Cuisine, Regional Cuisine",14.4515515,40.6456678,3.91E+12,https://guide.michelin.com/en/campania/ticciano/restaurant/cannavacciuolo-countryside,https://laquaresorts.it/countryside/,1 Star,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card",90.06,130.09,Italy,110.075
2154,Botrini's,"24b Vasileos Georgiou, Athens, 152 33, Greece",Athens,90,130,EUR,Mediterranean Cuisine,23.7936937,38.0232617,3.02E+11,https://guide.michelin.com/en/attica/athens/restaurant/botrini-s,https://botrinis.com/,1 Star,"Air conditioning,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card",90.06,130.09,Greece,110.075
1899,Dolomieu,"via Castelletto Inferiore 10, Madonna di Campiglio, 38086, Italy",Madonna di Campiglio,90,135,EUR,Contemporary,10.8257548,46.223693,3.9E+11,https://guide.michelin.com/en/trentino-alto-adige/madonna-di-campiglio/restaurant/dolomieu,https://www.dvchalet.it/it,1 Star,"American Express credit card,Booking essential,Car park,Credit card / Debit card accepted,Mastercard credit card,Visa credit card,Wheelchair access",90.06,135.09,Italy,112.575
2039,Vecchio Ristoro,"via Tourneuve 4, Aosta, 11100, Italy",Aosta,90,135,EUR,"Modern Cuisine, Regional Cuisine",7.3155868,45.7386406,39016533238,https://guide.michelin.com/en/valle-d-aosta/aosta/restaurant/vecchio-ristoro,https://ristorantevecchioristoro.it/,1 Star,"American Express credit card,Credit card / Debit card accepted,Mastercard credit card,Particularly interesting wine list,Visa credit card",90.06,135.09,Italy,112.575
483,Meliefste,"Wolphaartsdijkseveer 1, Wolphaartsdijk, 4471 ND, Netherlands",Wolphaartsdijk,90,140,EUR,Creative,3.8145823,51.5467659,31113581326,https://guide.michelin.com/en/zeeland/wolphaartsdijk/restaurant/meliefste,https://www.restaurantmeliefste.nl/,1 Star,"Car park,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card",90.06,140.1,Netherlands,115.08
1811,Kokotxa,"Kanpandegi 11, Donostia / San Sebastián, 20003, Spain",Donostia / San Sebastián,90,140,EUR,Modern Cuisine,-1.9870824,43.3236003,34943421904,https://guide.michelin.com/en/pais-vasco/es-donostia-san-sebastian/restaurant/kokotxa,https://www.restaurantekokotxa.com/,1 Star,"Air conditioning,Credit card / Debit card accepted,Mastercard credit card,Visa credit card,Wheelchair access",90.06,140.1,Spain,115.08
1835,Claudio,"via XXV Aprile 37, Bergeggi, 17028, Italy",Bergeggi,90,140,EUR,Seafood,8.4474601,44.2533914,39019859750,https://guide.michelin.com/en/liguria/bergeggi/restaurant/claudio,https://www.hotelclaudiobergeggi.it/,1 Star,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Diners Club credit card,Garden or park,Great view,Mastercard credit card,Terrace,Visa credit card",90.06,140.1,Italy,115.08
2106,Locanda del Pilone,"frazione Madonna di Como 34, Alba, 12051, Italy",Alba,90,140,EUR,Creative,8.04705,44.66367,3.9E+11,https://guide.michelin.com/en/piemonte/alba/restaurant/locanda-del-pilone,https://www.locandadelpilone.com/,1 Star,"Air conditioning,American Express credit card,Car park,Credit card / Debit card accepted,Garden or park,Great view,Mastercard credit card,Particularly interesting wine list,Terrace,Visa credit card,Wheelchair access",90.06,140.1,Italy,115.08
1772,Odiseo Gastronómico,"Avenida Juan de Borbón 224 - 2º, Murcia, 30110, Spain",Murcia,90,145,EUR,Modern Cuisine,-1.1432888,38.0244458,34649222222,https://guide.michelin.com/en/region-de-murcia/murcia/restaurant/odiseo,https://odiseospain.com/,1 Star,"Air conditioning,Car park,Counter dining,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Particularly interesting wine list,Visa credit card,Wheelchair access",90.06,145.1,Spain,117.58
1952,Feva,"Borgo Treviso 62, Castelfranco Veneto, 31033, Italy",Castelfranco Veneto,90,145,EUR,Creative,11.9321644,45.6720316,3.9E+11,https://guide.michelin.com/en/veneto/castelfranco-veneto/restaurant/feva,https://fevaristorante.it/,1 Star,"Air conditioning,American Express credit card,Booking essential,Car park,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Terrace,Visa credit card,Wheelchair access",90.06,145.1,Italy,117.58
